IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,4287879159,4283821341,18177079
4294967084,4294967084,4294967084,14805094,1939778,4278208338
4294967084,4294967084,4294967084,4288264199,18217243,4283584653
4294967084,4294967084,4294967084,12521651,5348215,4277122634
4294967084,4294967084,4294967084,4293456875,4279825631,16594037
4294967084,4294967084,4294967084,4283063562,18126598,4288879286
4294967084,4294967084,4294967084,9868217,8516809,4276661084
4294967084,4294967084,4294967084,4279349869,4294514473,16096449
4294967084,4294967084,4294967084,18275551,4284983655,4286627148
4294967084,4294967084,4294967084,4257407,13390293,4277384292
4294967084,4294967084,4294967084,3119527,14153846,4277777277
4294967084,4294967084,4294967084,17816547,4289722438,4282375838
4294967084,4294967084,4294967084,4294349077,16260932,4279440822
4294967084,4294967084,4294967084,4285267298,4286310617,18311708
4294966931,4294967084,4294967084,16911704,4292607269,4280403500
4294967084,4294967084,4294967084,4289890687,4282204496,17783561
4294967084,4294967084,4294967084,4290716159,4281587410,17587213
